,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
17,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,1.0,0.0,0.0,-0.0024,0.01735,,,0.0,30 x 300,72.25,73.15,357.0,0.01,0.02,536 x 2285,0.02,-0.00152,0.00023,0.00151,-0.01562,-0.00027,0.94326,2.0,73.0,0.17
18,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.98617,0.00093,0.01089,-0.18581,0.01648,1.23708,,0.0,300 x 30,71.72,72.64,358.0,0.01,0.02,786 x 2209,0.04,-0.0015,0.00021,0.00149,-0.01581,0.0,0.93056,0.0,72.0,0.167
19,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,1.0,0.0,0.0,-0.00271,0.01731,,,0.0,30 x 300,70.24,71.15,359.0,0.01,0.02,686 x 2208,0.02,-0.00154,0.0002,0.00142,-0.01464,0.0,0.91516,2.0,71.0,0.165
20,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.98726,0.00099,0.00989,-0.16141,0.01685,1.17903,,0.0,300 x 300,69.91,70.4,360.0,0.01,0.02,786 x 2207,0.01,-0.0021,0.00023,0.00221,-0.01506,0.0,0.9014,73.0,70.0,0.163
21,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,1.0,0.0,0.0,-0.00259,0.01755,,,0.0,2 x 300,68.24,69.15,361.0,0.01,0.02,886 x 2206,0.02,-0.00189,0.00023,0.00208,-0.01513,-0.0002,0.88894,51.0,69.0,0.16
22,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.9963,0.00033,0.0033,-0.03354,0.01713,0.94014,,0.0,300 x 300,67.72,68.33,362.0,0.01,0.02,886 x 2205,0.02,-0.00196,0.00024,0.00177,-0.01462,-0.00019,0.87615,22.0,68.0,0.158
23,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.98271,0.00125,0.01217,-0.2197,0.01634,1.1841,,0.0,300 x 300,66.69,67.74,363.0,0.01,0.02,986 x 2204,0.02,-0.0023,0.00022,0.00225,-0.01511,0.0,0.86355,5.0,67.0,0.156
24,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.98276,0.00125,0.01222,-0.21467,0.01653,1.16418,,0.0,300 x 300,65.69,66.73,364.0,0.01,0.02,986 x 2203,0.02,-0.00195,0.00029,0.00162,-0.015,0.0,0.84933,230.0,66.0,0.153
25,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.9797,0.00136,0.01487,-0.26292,0.01726,1.18378,,0.0,1 x 2,64.65,65.87,365.0,0.01,0.02,1054 x 2202,0.02,-0.00235,0.00026,0.00201,-0.01489,0.0,0.83802,443.0,65.0,0.151
26,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.97977,0.0014,0.01466,-0.26208,0.01679,1.16723,,0.0,1 x 2,63.65,64.87,366.0,0.01,0.02,1054 x 2200,0.02,-0.0018,0.00027,0.002,-0.0153,-0.00041,0.82466,30.0,64.0,0.149
27,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.99523,0.00047,0.00381,-0.03782,0.01712,0.88632,,0.0,300 x 300,62.72,63.34,367.0,0.01,0.02,1054 x 2199,0.02,-0.0018,0.00028,0.00181,-0.0149,0.0,0.81344,26.0,63.0,0.146
28,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.99701,0.00039,0.00235,-0.02325,0.01735,0.82478,,0.0,30 x 30,61.46,62.57,368.0,0.01,0.02,1054 x 2197,0.03,-0.00254,0.0003,0.00232,-0.01511,-7e-05,0.80082,1.0,62.0,0.144
29,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.99991,0.0,-0.00012,-0.00342,0.01763,0.62947,,0.0,300 x 30,60.59,61.4,369.0,0.01,0.02,1054 x 2038,0.02,-0.00168,0.00034,0.00246,-0.01505,-5e-05,0.78547,13.0,61.0,0.142
30,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.97946,0.00158,0.01476,-0.24747,0.0172,1.08918,0.0,81.02,300 x 30,59.91,60.58,370.0,0.01,0.02,1054 x 2037,0.02,-0.00217,0.00027,0.0019,-0.01546,-0.00049,0.77436,38.0,60.0,0.14
31,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.99587,0.00053,0.00431,-0.03797,0.01722,0.8316,,0.0,300 x 300,58.72,59.34,371.0,0.01,0.02,1054 x 1909,0.02,-0.00176,0.00034,0.00219,-0.01527,-0.00019,0.76107,2.0,59.0,0.137
32,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.98255,0.00141,0.01226,-0.18982,0.01699,1.013,0.0,61.0,300 x 300,57.91,58.46,372.0,0.01,0.02,1070 x 1865,0.04,-0.00193,0.00028,0.0017,-0.01462,-0.00039,0.74916,5.0,58.0,0.135
33,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.98444,0.00132,0.01193,-0.16059,0.01736,0.9718,0.0,63.14,300 x 300,56.91,57.4,373.0,0.01,0.02,1054 x 1926,0.02,-0.00271,0.00034,0.00201,-0.01481,0.0,0.73684,145.0,57.0,0.133
34,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.9781,0.00169,0.01588,-0.25261,0.01769,1.02633,,0.0,300 x 30,55.91,56.59,374.0,0.01,0.02,970 x 1787,0.02,-0.00208,0.00032,0.00207,-0.01494,0.0,0.72446,51.0,56.0,0.13
35,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.98072,0.00165,0.01448,-0.20877,0.01698,0.97914,,0.0,300 x 2,54.72,55.69,375.0,0.01,0.02,970 x 1755,0.02,-0.00277,0.00031,0.00244,-0.01557,-0.00044,0.71207,74.0,55.0,0.128
36,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,1.0,0.0,0.0,-0.00215,0.01744,,,0.0,30 x 300,53.26,54.16,376.0,0.01,0.02,1170 x 1622,0.02,-0.00201,0.00038,0.00184,-0.01431,-0.00049,0.6965,11.0,54.0,0.126
37,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.98037,0.00171,0.01419,-0.20909,0.01755,0.94648,,0.0,300 x 2,52.72,53.69,377.0,0.01,0.02,1170 x 1493,0.02,-0.00222,0.00037,0.00212,-0.01431,0.0,0.68388,39.0,53.0,0.123
38,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.98361,0.0016,0.01236,-0.16073,0.01751,0.89265,,0.0,300 x 300,51.91,52.4,378.0,0.01,0.02,1270 x 1359,0.03,-0.00282,0.00037,0.00246,-0.01459,-0.00034,0.67049,15.0,52.0,0.121
39,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.97512,0.0021,0.01688,-0.26159,0.017,0.94782,0.0,46.01,2 x 2,50.65,51.87,379.0,0.01,0.02,1370 x 1348,0.02,-0.00293,0.00037,0.00274,-0.01481,0.0,0.66028,28.0,51.0,0.119
40,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.97501,0.00211,0.01681,-0.26057,0.0174,0.93134,0.0,37.61,2 x 2,49.65,50.87,380.0,0.01,0.02,1428 x 723,0.02,-0.00293,0.00042,0.00244,-0.0152,0.0,0.64821,461.0,50.0,0.116
41,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.98175,0.00172,0.01252,-0.16531,0.01769,0.84923,,0.0,300 x 300,48.91,49.41,381.0,0.01,0.02,1428 x 526,0.03,-0.00312,0.00042,0.00274,-0.01488,-0.00051,0.63494,65.0,49.0,0.114
42,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.9992,0.00023,0.00153,-0.0082,0.01763,0.56855,,0.0,30 x 300,47.47,48.53,382.0,0.01,0.02,1285 x 352,0.04,-0.00289,0.00046,0.00283,-0.01519,-0.00034,0.62289,1.0,48.0,0.112
43,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.99493,0.00068,0.0046,-0.03239,0.01755,0.65612,,0.0,30 x 30,46.47,47.58,383.0,0.02,0.03,270 x 2035,0.02,-0.00457,0.00061,0.00357,-0.02499,-0.00014,0.64355,35.0,47.0,0.109
44,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,1.0,0.0,0.0,-0.00273,0.01791,,0.0,52.61,30 x 25,45.47,46.47,384.0,0.02,0.03,536 x 2015,0.04,-0.00444,0.00069,0.00378,-0.02446,-0.00031,0.63041,8.0,46.0,0.107
45,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.97487,0.00232,0.01748,-0.23206,0.01778,0.83128,0.0,49.5,300 x 300,44.72,45.74,385.0,0.02,0.03,536 x 1939,0.02,-0.00393,0.00069,0.00352,-0.02472,0.0,0.61701,236.0,45.0,0.105
46,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.97177,0.00256,0.0187,-0.26523,0.01801,0.83383,0.0,37.56,1 x 1,43.66,44.87,386.0,0.02,0.03,1054 x 1922,0.03,-0.00485,0.00074,0.00426,-0.02513,0.0,0.60394,33.0,44.0,0.102
47,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.98718,0.00166,0.00973,-0.09726,0.01801,0.69616,,0.0,25 x 25,42.7,43.48,387.0,0.02,0.03,1054 x 1902,0.07,-0.00441,0.00074,0.00403,-0.02523,-0.0001,0.59101,2.0,43.0,0.1
48,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.98001,0.0022,0.0148,-0.1645,0.01833,0.73786,,0.0,300 x 300,41.91,42.41,388.0,0.02,0.03,1054 x 1837,0.05,-0.00476,0.00081,0.00447,-0.025,-0.0006,0.57835,9.0,42.0,0.098
49,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.96998,0.00297,0.01986,-0.27385,0.0182,0.78784,,0.0,1 x 1,40.67,41.88,389.0,0.02,0.03,1054 x 1715,0.04,-0.00431,0.00085,0.0041,-0.02485,0.0,0.56562,23.0,41.0,0.095
50,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.98055,0.00228,0.01346,-0.1458,0.01804,0.6929,3.0,39.64,25 x 4,39.7,40.58,390.0,0.02,0.03,1153 x 1534,0.03,-0.00475,0.00081,0.00431,-0.02518,0.0,0.55181,154.0,40.0,0.093
51,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.97402,0.00284,0.01821,-0.21203,0.01789,0.72093,0.0,32.19,25 x 2,38.71,39.71,391.0,0.02,0.03,1153 x 1307,0.04,-0.00482,0.00092,0.00437,-0.02465,0.0,0.53818,119.0,39.0,0.091
52,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.96814,0.00333,0.0209,-0.26873,0.01784,0.73559,0.0,39.1,2 x 2,37.66,38.88,392.0,0.02,0.03,1170 x 1145,0.03,-0.00493,0.00095,0.00434,-0.02469,-0.00026,0.52519,153.0,38.0,0.088
